GameDate, GameID, Visitor, Home
2026-03-10,0022500937,DET,BKN
2026-03-10,0022500938,WAS,MIA
2026-03-10,0022500939,DAL,ATL
2026-03-10,0022500940,TOR,HOU
2026-03-10,0022500941,PHX,MIL
2026-03-10,0022500942,BOS,SAS
2026-03-10,0022500943,CHI,GSW
2026-03-10,0022500944,CHA,POR
2026-03-10,0022500945,IND,SAC
2026-03-10,0022500946,MIN,LAL
2026-03-11,0022500947,CLE,ORL
2026-03-11,0022500948,TOR,NOP
2026-03-11,0022500949,NYK,UTA
2026-03-11,0022500950,HOU,DEN
2026-03-11,0022500951,CHA,SAC
2026-03-11,0022500952,MIN,LAC
2026-03-12,0022500953,PHI,DET
2026-03-12,0022500954,PHX,IND
2026-03-12,0022500955,WAS,ORL
2026-03-12,0022500956,BKN,ATL
2026-03-12,0022500957,MIL,MIA
2026-03-12,0022500958,DEN,SAS
2026-03-12,0022500959,BOS,OKC
2026-03-12,0022500960,CHI,LAL
2026-03-13,0022500961,MEM,DET
2026-03-13,0022500962,NYK,IND
2026-03-13,0022500963,PHX,TOR
2026-03-13,0022500964,NOP,HOU
2026-03-13,0022500965,CLE,DAL
2026-03-13,0022500966,MIN,GSW
2026-03-13,0022500967,UTA,POR
2026-03-13,0022500968,CHI,LAC
2026-03-14,0022500969,BKN,PHI
2026-03-14,0022500970,MIL,ATL
2026-03-14,0022500971,WAS,BOS
2026-03-14,0022500972,ORL,MIA
2026-03-14,0022500973,CHA,SAS
2026-03-14,0022500974,DEN,LAL
2026-03-14,0022500975,SAC,LAC
2026-03-15,0022500976,MIN,OKC
2026-03-15,0022500977,DAL,CLE
2026-03-15,0022500978,DET,TOR
2026-03-15,0022500979,IND,MIL
2026-03-15,0022500980,POR,PHI
2026-03-15,0022500981,GSW,NYK
2026-03-15,0022500982,UTA,SAC
2026-03-16,0022500983,ORL,ATL
2026-03-16,0022500984,GSW,WAS
2026-03-16,0022500985,POR,BKN
2026-03-16,0022500986,PHX,BOS
2026-03-16,0022500987,MEM,CHI
2026-03-16,0022500988,DAL,NOP
2026-03-16,0022500989,LAL,HOU
2026-03-16,0022500990,SAS,LAC
2026-03-17,0022500991,MIA,CHA
2026-03-17,0022500992,OKC,ORL
2026-03-17,0022500993,DET,WAS
2026-03-17,0022500994,IND,NYK
2026-03-17,0022500995,CLE,MIL
2026-03-17,0022500996,PHX,MIN
2026-03-17,0022500997,PHI,DEN
2026-03-17,0022500998,SAS,SAC
2026-03-18,0022500999,GSW,BOS
2026-03-18,0022501000,OKC,BKN
2026-03-18,0022501001,POR,IND
2026-03-18,0022501002,TOR,CHI
2026-03-18,0022501003,NYK,MEM
2026-03-18,0022501004,UTA,MIN
2026-03-18,0022501005,LAC,NOP
2026-03-18,0022501006,ATL,DAL
2026-03-18,0022501007,LAL,HOU
2026-03-19,0022501008,ORL,CHA
2026-03-19,0022501009,DET,WAS
2026-03-19,0022501010,LAL,MIA
2026-03-19,0022501011,CLE,CHI
2026-03-19,0022501012,LAC,NOP
2026-03-19,0022501013,PHX,SAS
2026-03-19,0022501014,MIL,UTA
2026-03-19,0022501015,PHI,SAC
2026-03-20,0022501016,NYK,BKN
2026-03-20,0022501017,GSW,DET
2026-03-20,0022501018,ATL,HOU
2026-03-20,0022501019,BOS,MEM
2026-03-20,0022501020,POR,MIN
2026-03-20,0022501021,TOR,DEN
2026-03-21,0022501022,OKC,WAS
2026-03-21,0022501023,MEM,CHA
2026-03-21,0022501024,LAL,ORL
2026-03-21,0022501025,CLE,NOP
2026-03-21,0022501026,GSW,ATL
2026-03-21,0022501027,MIA,HOU
2026-03-21,0022501028,IND,SAS
2026-03-21,0022501029,LAC,DAL
2026-03-21,0022501030,PHI,UTA
2026-03-21,0022501031,MIL,PHX
2026-03-22,0022501032,POR,DEN
2026-03-22,0022501033,BKN,SAC
2026-03-22,0022501034,WAS,NYK
2026-03-22,0022501035,MIN,BOS
2026-03-22,0022501036,TOR,PHX
2026-03-23,0022501037,MEM,ATL
2026-03-23,0022501038,LAL,DET
2026-03-23,0022501039,IND,ORL
2026-03-23,0022501040,OKC,PHI
2026-03-23,0022501041,SAS,MIA
2026-03-23,0022501042,HOU,CHI
2026-03-23,0022501043,TOR,UTA
2026-03-23,0022501044,GSW,DAL
2026-03-23,0022501045,BKN,POR
2026-03-23,0022501046,MIL,LAC
2026-03-24,0022501047,SAC,CHA
2026-03-24,0022501048,NOP,NYK
2026-03-24,0022501049,ORL,CLE
2026-03-24,0022501050,DEN,PHX
2026-03-25,0022501051,ATL,DET
2026-03-25,0022501052,LAL,IND
2026-03-25,0022501053,CHI,PHI
2026-03-25,0022501054,OKC,BOS
2026-03-25,0022501055,MIA,CLE
2026-03-25,0022501056,SAS,MEM
2026-03-25,0022501057,WAS,UTA
2026-03-25,0022501058,HOU,MIN
2026-03-25,0022501059,DAL,DEN
2026-03-25,0022501060,BKN,GSW
2026-03-25,0022501061,MIL,POR
2026-03-25,0022501062,TOR,LAC
2026-03-26,0022501063,NYK,CHA
2026-03-26,0022501064,NOP,DET
2026-03-26,0022501065,SAC,ORL
2026-03-27,0022501066,LAC,IND
2026-03-27,0022501067,ATL,BOS
2026-03-27,0022501068,MIA,CLE
2026-03-27,0022501069,HOU,MEM
2026-03-27,0022501070,CHI,OKC
2026-03-27,0022501071,NOP,TOR
2026-03-27,0022501072,UTA,DEN
2026-03-27,0022501073,WAS,GSW
2026-03-27,0022501074,DAL,POR
2026-03-27,0022501075,BKN,LAL
2026-03-28,0022501076,SAS,MIL
2026-03-28,0022501077,PHI,CHA
2026-03-28,0022501078,SAC,ATL
2026-03-28,0022501079,CHI,MEM
2026-03-28,0022501080,DET,MIN
2026-03-28,0022501081,UTA,PHX
2026-03-29,0022501082,LAC,MIL
2026-03-29,0022501083,MIA,IND
2026-03-29,0022501084,SAC,BKN
2026-03-29,0022501085,BOS,CHA
2026-03-29,0022501086,ORL,TOR
2026-03-29,0022501087,WAS,POR
2026-03-29,0022501088,HOU,NOP
2026-03-29,0022501089,NYK,OKC
2026-03-29,0022501090,GSW,DEN
2026-03-30,0022501091,PHI,MIA
2026-03-30,0022501092,BOS,ATL
2026-03-30,0022501093,PHX,MEM
2026-03-30,0022501094,CHI,SAS
2026-03-30,0022501095,MIN,DAL
2026-03-30,0022501096,CLE,UTA
2026-03-30,0022501097,DET,OKC
2026-03-30,0022501098,WAS,LAL
2026-03-31,0022501099,PHX,ORL
2026-03-31,0022501100,CHA,BKN
2026-03-31,0022501101,TOR,DET
2026-03-31,0022501102,NYK,HOU
2026-03-31,0022501103,CLE,LAL
2026-03-31,0022501104,POR,LAC
2026-04-01,0022501105,PHI,WAS
2026-04-01,0022501106,BOS,MIA
2026-04-01,0022501107,ATL,ORL
2026-04-01,0022501108,SAC,TOR
2026-04-01,0022501109,IND,CHI
2026-04-01,0022501110,MIL,HOU
2026-04-01,0022501111,DAL,MEM
2026-04-01,0022501112,DEN,UTA
2026-04-01,0022501113,SAS,GSW
2026-04-02,0022501114,PHX,CHA
2026-04-02,0022501115,MIN,DET
2026-04-02,0022501116,LAL,OKC
